Session	 TrialNumber	 Onset	 Word	 Object	 Cond	 IntRat	 RT	 StimDuration	 CriterionTest
3	 27	 128.7621	 EFFORT	 locomotive	 2	 2	 0.8108	 2.9999	 1
3	 28	 135.3811	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 29	 137.9918	 POSTE	 motorboat02	 1	 1	 0.5856	 2.9999	 1
3	 30	 143.8225	 TERRE	 tongs01b	 1	 1	 0.9203	 2.9999	 1
3	 31	 150.0543	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 32	 152.6578	 SENTEUR	 accordion01	 2	 2	 0.9671	 2.9999	 1
3	 33	 158.0904	 PAYS	 eraser	 2	 2	 0.6701	 2.9999	 1
3	 34	 163.5206	 CONSEIL	 axe01	 2	 2	 0.7572	 2.9832	 1
3	 35	 170.1331	 ÉCOLOGIE	 tent	 1	 1	 0.9889	 2.9998	 1
3	 36	 175.9512	 ESTIMATION	 wallclock	 2	 1	 0.9801	 2.9999	 1
3	 37	 181.9598	 PUISSANCE	 castle	 2	 1	 0.9235	 2.9999	 1
3	 38	 188.5828	 NEUTRE	 candelabra	 1	 2	 0.8030	 2.9999	 1
3	 39	 194.0030	 CHAUD	 satellitedish01	 1	 1	 0.9703	 2.9832	 1
3	 40	 199.4188	 ABSTRAIT	 jackrabbit	 2	 2	 0.7698	 2.9999	 1
3	 41	 206.0358	 VERTU	 shipinabottle	 2	 1	 1.0572	 2.9832	 1
3	 42	 212.2552	 MALICE	 doorhandle	 2	 2	 1.3040	 2.9999	 1
3	 43	 218.2883	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 44	 220.3049	 UNI	 hammer01	 1	 0	   NaN	 2.9999	 1
3	 45	 226.5380	 ATTENTION	 bridge	 1	 1	 0.9331	 2.9999	 1
3	 46	 232.3712	 DÉVOTION	 skunk	 1	 1	 0.5475	 2.9999	 1
3	 47	 238.3899	 GLOIRE	 magnifyingglass01b	 1	 1	 0.8190	 2.9999	 1
3	 48	 243.8182	 MALICE	 doorhandle	 2	 2	 0.8097	 2.9999	 1
3	 49	 250.0439	 PAYS	 eraser	 2	 1	 1.8171	 2.9999	 1
3	 50	 255.4701	 ABSTRAIT	 jackrabbit	 2	 1	 0.8961	 2.9999	 1
3	 51	 261.4903	 NEUTRE	 candelabra	 1	 0	   NaN	 2.9999	 1
3	 52	 266.9195	 FAVEUR	 africanelephant	 1	 2	 0.9180	 2.9999	 1
3	 53	 272.3513	 DÉVOTION	 skunk	 1	 1	 0.8687	 2.9999	 1
3	 54	 278.5837	 IRONIE	 umbrella04	 2	 2	 0.6755	 2.9999	 1
3	 55	 285.2099	 ESPRIT	 balloon01b	 2	 1	 1.0271	 2.9999	 1
3	 56	 290.6351	 SOUPLESSE	 bust	 1	 1	 0.7377	 2.9999	 1
3	 57	 296.8639	 SENTEUR	 accordion01	 2	 1	 0.7854	 2.9999	 1
3	 58	 302.8826	 ESTIMATION	 wallclock	 2	 1	 0.7678	 2.9999	 1
3	 59	 308.9166	 ATTENTION	 bridge	 1	 2	 0.9666	 2.9999	 1
3	 60	 315.5508	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 61	 317.3673	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 62	 319.9839	 AMOUR	 giraffe	 2	 1	 1.1962	 2.9999	 1
3	 63	 326.0170	 DISTINCTION	 qtip	 2	 2	 0.7709	 2.9998	 1
3	 64	 331.4458	 GLOIRE	 magnifyingglass01b	 1	 1	 0.8103	 2.9999	 1
3	 65	 337.6562	 CALME	 bench01	 1	 1	 1.4180	 2.9999	 1
3	 66	 343.6829	 LISSE	 hand01b	 1	 1	 0.7364	 2.9999	 1
3	 67	 349.1129	 ATTITUDE	 lipstick02a	 1	 1	 0.6878	 2.9832	 1
3	 68	 354.9279	 EFFORT	 locomotive	 2	 2	 1.0795	 2.9999	 1
3	 69	 360.9488	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 70	 362.9654	 CARRÉ	 carbattery	 2	 1	 0.9973	 2.9998	 1
3	 71	 368.3845	 UNI	 hammer01	 1	 1	 1.4448	 2.9999	 1
3	 72	 374.6149	 ÉCOLOGIE	 tent	 1	 1	 0.6675	 2.9999	 1
3	 73	 380.6471	 NOTE	 doormat	 1	 1	 0.6985	 2.9999	 1
3	 74	 386.6826	 AMITIÉ	 lip	 2	 1	 0.6012	 2.9999	 1
3	 75	 392.5129	 LOURD	 mushroom01	 2	 2	 0.9278	 2.9999	 1
3	 76	 397.9360	 CONSEIL	 axe01	 2	 1	 0.6392	 2.9999	 1
3	 77	 403.7578	 TERRE	 tongs01b	 1	 1	 0.7667	 2.9999	 1
3	 78	 409.5801	 VALEUR	 banana01	 1	 1	 0.8613	 2.9999	 1
3	 79	 415.4018	 TROU	 teapot	 2	 2	 0.6691	 2.9999	 1
3	 80	 421.2271	 PUISSANCE	 castle	 2	 1	 0.8516	 2.9999	 1
3	 81	 427.0610	 POSTE	 motorboat02	 1	 1	 0.6822	 2.9999	 1
3	 82	 432.4968	 FORTUNE	 acousticguitar02	 1	 1	 2.3130	 2.9999	 1
3	 83	 438.7288	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 84	 440.1454	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
