Session	 TrialNumber	 Onset	 Word	 Object	 Cond	 IntRat	 RT	 StimDuration	 CriterionTest
4	 63	 326.1462	 PAYS	 eraser	 2	 2	 0.7337	 2.9999	 1
4	 64	 332.7790	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
4	 65	 334.1959	 TERRE	 tongs01b	 1	 1	 0.5477	 2.9999	 1
4	 66	 340.0147	 FACULTÉ	 chain01	 1	 1	 0.5311	 2.9999	 1
4	 67	 345.8310	 ATTENTION	 bridge	 1	 1	 1.1308	 2.9999	 1
4	 68	 351.2619	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
4	 69	 353.8785	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
4	 70	 355.8950	 EFFORT	 locomotive	 2	 2	 0.4960	 2.9998	 1
4	 71	 362.1155	 ÉCOLOGIE	 tent	 1	 1	 0.9193	 2.9999	 1
4	 72	 368.7418	 CALME	 bench01	 1	 1	 1.0221	 2.9999	 1
4	 73	 374.9776	 CONSEIL	 axe01	 2	 2	 0.5570	 2.9999	 1
4	 74	 380.4036	 VÉRITÉ	 couch02	 2	 1	 0.5323	 2.9999	 1
4	 75	 387.0281	 NEUTRE	 candelabra	 1	 1	 0.7311	 2.9999	 1
4	 76	 393.6457	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
4	 77	 396.2599	 PUISSANCE	 castle	 2	 2	 0.5219	 2.9999	 1
4	 78	 402.0878	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
4	 79	 404.0929	 LISSE	 hand01b	 1	 1	 0.6566	 2.9999	 1
4	 80	 410.3195	 FORTUNE	 acousticguitar02	 1	 0	   NaN	 2.9998	 1
4	 81	 416.3424	 GLOIRE	 magnifyingglass01b	 1	 2	 0.7348	 2.9999	 1
4	 82	 422.5741	 TROU	 teapot	 2	 2	 0.6056	 2.9999	 1
4	 83	 428.8030	 MALICE	 doorhandle	 2	 2	 0.6772	 2.9999	 1
4	 84	 434.2144	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
4	 85	 436.8249	 CHAUD	 satellitedish01	 1	 1	 1.0168	 2.9999	 1
4	 86	 443.4579	 VALEUR	 banana01	 1	 1	 0.6988	 2.9999	 1
4	 87	 448.8922	 SOUPLESSE	 bust	 1	 1	 0.7935	 2.9999	 1
4	 88	 454.9139	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
4	 89	 457.5240	 AMITIÉ	 lip	 2	 2	 0.7523	 2.9999	 1
4	 90	 463.3548	 ESPRIT	 balloon01b	 2	 2	 1.1347	 2.9999	 1
